Trial ID,Trial Date,pid,isScienceGallery,screenX,screenY,leftIsTrue,Trial Num,Question,Lie?,Ans,x,y,t
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,670,830,1
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,683,853,5977
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,681,853,5985
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,677,851,6002
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,667,849,6019
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,651,847,6036
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,629,845,6053
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,612,844,6070
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,599,844,6095
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,591,844,6105
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,588,844,6122
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,588,845,6208
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,588,845,7001
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,588,844,7080
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,590,840,7097
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,592,835,7113
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,596,828,7130
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,601,821,7147
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,608,810,7165
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,617,799,7181
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,629,785,7199
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,641,771,7216
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,654,757,7234
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,666,744,7250
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,677,733,7267
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,687,720,7285
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,694,710,7302
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,701,701,7319
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,707,691,7335
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,712,681,7353
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,717,672,7370
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,724,660,7387
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,729,647,7404
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,735,636,7421
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,742,624,7438
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,751,614,7456
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,758,605,7473
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,762,598,7490
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,766,592,7507
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,769,589,7525
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,770,586,7542
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,772,583,7560
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,772,581,7577
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,772,580,7594
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,772,579,7612
999,2018-04-23 15:58:51,,0,1440,900,1,1,Have you ever slept in Berlin?,0,0,772,577,7629
